sepal length (cm),sepal width (cm),petal length (cm),petal width (cm),ID1,ID2,SHARP for sepal length (cm) Class1,SHARP for sepal width (cm) Class1,SHARP for petal length (cm) Class1,SHARP for petal width (cm) Class1,SHARP for sepal length (cm) Class2,SHARP for sepal width (cm) Class2,SHARP for petal length (cm) Class2,SHARP for petal width (cm) Class2,SHARP for sepal length (cm) Class3,SHARP for sepal width (cm) Class3,SHARP for petal length (cm) Class3,SHARP for petal width (cm) Class3
4.7,3.2,1.3,0.2,2.0,2.0,0.0,0.0,3.5503339767456055,0.0,-0.6566188335418701,-0.6265620589256287,-1.1656864881515503,0.39780697226524353,-0.09952521324157715,-0.10937640070915222,-1.4783246517181396,-1.8420535326004028
5.0,3.4,1.5,0.2,7.0,7.0,0.0,0.0,3.5503339767456055,0.0,-0.6566188335418701,-0.6265620589256287,-1.1656864881515503,0.39780697226524353,-0.09952521324157715,-0.10937640070915222,-1.4783246517181396,-1.8420535326004028
5.8,4.0,1.2,0.2,14.0,14.0,0.0,0.0,3.5503339767456055,0.0,0.26013362407684326,-0.6265620589256287,-1.0401525497436523,0.39780697226524353,-0.09952521324157715,-0.10937640070915222,-1.4783246517181396,-1.8420535326004028
5.5,4.2,1.4,0.2,33.0,33.0,0.0,0.0,3.5503339767456055,0.0,0.26013362407684326,-0.6265620589256287,-1.0401525497436523,0.39780697226524353,-0.09952521324157715,-0.10937640070915222,-1.4783246517181396,-1.8420535326004028
5.1,3.4,1.5,0.2,39.0,39.0,0.0,0.0,3.5503339767456055,0.0,-0.6566188335418701,-0.6265620589256287,-1.1656864881515503,0.39780697226524353,-0.09952521324157715,-0.10937640070915222,-1.4783246517181396,-1.8420535326004028
5.0,3.5,1.6,0.6,43.0,43.0,0.0,0.0,3.5503339767456055,0.0,-0.6566188335418701,-0.6265620589256287,-1.1656864881515503,0.39780697226524353,-0.09952521324157715,-0.10937640070915222,-1.4783246517181396,-1.8420535326004028
5.3,3.7,1.5,0.2,48.0,48.0,0.0,0.0,3.5503339767456055,0.0,-0.2714041471481323,-0.6265620589256287,-1.132794737815857,0.39780697226524353,-0.09952521324157715,-0.10937640070915222,-1.4783246517181396,-1.8420535326004028
7.0,3.2,4.7,1.4,50.0,50.0,0.0,0.0,-2.5915489196777344,0.0,0.6440901160240173,-0.5204080939292908,1.4063827991485596,0.41983550786972046,0.011626215651631355,-0.10937640070915222,-1.0801594257354736,-1.9409635066986084
6.5,2.8,4.6,1.5,54.0,54.0,0.0,0.0,-2.5915489196777344,0.0,0.6440901160240173,0.5700069665908813,1.251633644104004,0.7329971194267273,0.011626215651631355,0.13718102872371674,-1.0116770267486572,-1.9409635066986084
6.3,3.3,4.7,1.6,56.0,56.0,0.0,0.0,-2.5915489196777344,0.0,-0.015603430569171906,-0.5204080939292908,1.4063827991485596,0.4660392105579376,0.011626215651631355,-0.10937640070915222,-0.7885512113571167,0.042994238436222076
6.6,2.9,4.6,1.3,58.0,58.0,0.0,0.0,-2.5915489196777344,0.0,0.6440901160240173,0.5700069665908813,1.251633644104004,0.7329971194267273,0.011626215651631355,0.13718102872371674,-1.0116770267486572,-1.9409635066986084
5.9,3.2,4.8,1.8,70.0,70.0,0.0,0.0,-2.5915489196777344,0.0,0.17282924056053162,-0.13355550169944763,1.1550734043121338,-1.1635174751281738,-0.09952521324157715,-0.10937640070915222,-0.5129909515380859,3.2974853515625
6.0,2.9,4.5,1.5,78.0,78.0,0.0,0.0,-2.5915489196777344,0.0,0.26013362407684326,0.5700069665908813,1.1048424243927002,0.8188211917877197,-0.09952521324157715,0.13718102872371674,-0.9005256295204163,-1.9409635066986084
5.7,2.6,3.5,1.0,79.0,79.0,0.0,0.0,-2.5915489196777344,0.0,0.26013362407684326,0.8406860828399658,1.0564930438995361,0.8628039360046387,-0.09952521324157715,0.13718102872371674,-1.4098422527313232,-1.8420535326004028
5.5,2.4,3.8,1.1,80.0,80.0,0.0,0.0,-2.5915489196777344,0.0,0.26013362407684326,0.8406860828399658,1.0564930438995361,0.8628039360046387,-0.09952521324157715,0.13718102872371674,-1.4098422527313232,-1.8420535326004028
6.0,3.4,4.5,1.6,85.0,85.0,0.0,0.0,-2.5915489196777344,0.0,0.26013362407684326,-0.5204080939292908,1.2595913410186768,0.5056595802307129,-0.09952521324157715,-0.10937640070915222,-0.6773998737335205,0.042994238436222076
