sepal length (cm),sepal width (cm),petal length (cm),petal width (cm),ID1,ID2,SHARP for sepal length (cm) Class1,SHARP for sepal width (cm) Class1,SHARP for petal length (cm) Class1,SHARP for petal width (cm) Class1,SHARP for sepal length (cm) Class2,SHARP for sepal width (cm) Class2,SHARP for petal length (cm) Class2,SHARP for petal width (cm) Class2,SHARP for sepal length (cm) Class3,SHARP for sepal width (cm) Class3,SHARP for petal length (cm) Class3,SHARP for petal width (cm) Class3
5.7,4.4,1.5,0.4,15.0,15.0,0.0,0.0,3.6188580989837646,0.0,-0.07821211963891983,0.0,-0.9289255738258362,0.5287883877754211,-0.24902230501174927,-0.7003966569900513,-0.8385656476020813,-1.6666184663772583
5.1,3.7,1.5,0.4,21.0,21.0,0.0,0.0,3.6188580989837646,0.0,-1.2737540006637573,0.0,-1.0672721862792969,0.46988359093666077,-0.24902230501174927,-0.7003966569900513,-0.8385656476020813,-1.6666184663772583
4.6,3.6,1.0,0.2,22.0,22.0,0.0,0.0,3.6188580989837646,0.0,-1.8962066173553467,0.0,-1.1699861288070679,0.46988359093666077,-0.24902230501174927,-0.7003966569900513,-0.8385656476020813,-1.6666184663772583
5.1,3.3,1.7,0.5,23.0,23.0,0.0,0.0,3.6188580989837646,0.0,-1.2737540006637573,0.0,-1.0672721862792969,0.46988359093666077,-0.24902230501174927,-0.7003966569900513,-0.8385656476020813,-1.6666184663772583
4.8,3.1,1.6,0.2,30.0,30.0,0.0,0.0,3.6188580989837646,0.0,-1.8962066173553467,0.0,-1.1699861288070679,0.46988359093666077,-0.24902230501174927,-0.5811219215393066,-0.8385656476020813,-1.785893201828003
5.4,3.4,1.5,0.4,31.0,31.0,0.0,0.0,3.6188580989837646,0.0,-0.9569839835166931,0.0,-1.0672721862792969,0.5287883877754211,-0.24902230501174927,-0.7003966569900513,-0.8385656476020813,-1.6666184663772583
5.2,4.1,1.5,0.1,32.0,32.0,0.0,0.0,3.6188580989837646,0.0,-0.9569839835166931,0.0,-1.0672721862792969,0.5287883877754211,-0.24902230501174927,-0.7003966569900513,-0.8385656476020813,-1.6666184663772583
5.0,3.5,1.3,0.3,40.0,40.0,0.0,0.0,3.6188580989837646,0.0,-1.2737540006637573,0.0,-1.0672721862792969,0.46988359093666077,-0.24902230501174927,-0.7003966569900513,-0.8385656476020813,-1.6666184663772583
4.5,2.3,1.3,0.3,41.0,41.0,0.0,0.0,3.6188580989837646,0.0,-1.8962066173553467,0.0,-1.1699861288070679,0.46988359093666077,-0.24902230501174927,1.020878553390503,-0.7373191118240356,-1.8839366436004639
4.6,3.2,1.4,0.2,47.0,47.0,0.0,0.0,3.6188580989837646,0.0,-1.8962066173553467,0.0,-1.1699861288070679,0.46988359093666077,-0.24902230501174927,-0.7003966569900513,-0.8385656476020813,-1.6666184663772583
5.0,3.3,1.4,0.2,49.0,49.0,0.0,0.0,3.6188580989837646,0.0,-1.2737540006637573,0.0,-1.0672721862792969,0.46988359093666077,-0.24902230501174927,-0.7003966569900513,-0.8385656476020813,-1.6666184663772583
5.7,2.8,4.5,1.3,55.0,55.0,0.0,0.0,-2.456847667694092,0.0,-0.07821211963891983,0.0,1.5862234830856323,0.9811331629753113,-0.24902230501174927,-0.30817869305610657,-0.8385656476020813,-1.8275823593139648
4.9,2.4,3.3,1.0,57.0,57.0,0.0,0.0,-1.9633712768554688,0.0,-1.8962066173553467,0.0,1.3451629877090454,0.9222283363342285,-0.24902230501174927,1.020878553390503,-0.7373191118240356,-1.8839366436004639
5.8,2.7,4.1,1.0,67.0,67.0,0.0,0.0,-2.456847667694092,0.0,-0.07821211963891983,0.0,1.5862234830856323,0.9811331629753113,-0.24902230501174927,-0.30817869305610657,-0.8385656476020813,-1.8275823593139648
6.8,2.8,4.8,1.4,76.0,76.0,0.0,0.0,-2.456847667694092,0.0,0.7932509779930115,0.0,1.6202855110168457,1.0236907005310059,0.06716594099998474,-0.30817869305610657,-0.8385656476020813,-1.9121066331863403
6.0,3.4,4.5,1.6,85.0,85.0,0.0,0.0,-2.456847667694092,0.0,0.5297784209251404,0.0,1.6650097370147705,0.9811331629753113,0.22649982571601868,-0.7510229349136353,-0.939430296421051,-0.6700319051742554
6.3,2.3,4.4,1.3,87.0,87.0,0.0,0.0,-2.456847667694092,0.0,0.7932509779930115,0.0,1.6202855110168457,1.0236907005310059,0.06716594099998474,1.020878553390503,-0.7373191118240356,-1.9684609174728394
5.6,3.0,4.1,1.3,88.0,88.0,0.0,0.0,-2.456847667694092,0.0,-0.07821211963891983,0.0,1.5862234830856323,0.9811331629753113,-0.24902230501174927,-0.30817869305610657,-0.8385656476020813,-1.8275823593139648
5.7,3.0,4.2,1.2,95.0,95.0,0.0,0.0,-2.456847667694092,0.0,-0.07821211963891983,0.0,1.5862234830856323,0.9811331629753113,-0.24902230501174927,-0.30817869305610657,-0.8385656476020813,-1.8275823593139648
5.1,2.5,3.0,1.1,98.0,98.0,0.0,0.0,3.6188580989837646,0.0,-1.2737540006637573,0.0,-1.0672721862792969,0.46988359093666077,-0.24902230501174927,1.020878553390503,-0.7373191118240356,-1.8839366436004639
7.6,3.0,6.6,2.1,105.0,105.0,0.0,0.0,-2.456847667694092,0.0,0.4164363145828247,0.0,-1.6661134958267212,-1.2876265048980713,0.14258380234241486,-0.030358150601387024,1.4988082647323608,2.366652250289917
7.2,3.6,6.1,2.5,109.0,109.0,0.0,0.0,-2.456847667694092,0.0,0.4164363145828247,0.0,-1.6661134958267212,-1.2876265048980713,0.14258380234241486,-0.8554840087890625,1.4988082647323608,2.09470796585083
6.2,2.8,4.8,1.8,126.0,126.0,0.0,0.0,-2.456847667694092,0.0,0.6265637278556824,0.0,1.3045341968536377,-1.3556890487670898,0.14258380234241486,-0.1371186375617981,-1.2717633247375488,2.6723709106445312
6.4,2.8,5.6,2.1,128.0,128.0,0.0,0.0,-2.456847667694092,0.0,0.4164363145828247,0.0,-1.6661134958267212,-1.2876265048980713,0.14258380234241486,-0.030358150601387024,1.4988082647323608,2.366652250289917
6.4,2.8,5.6,2.2,132.0,132.0,0.0,0.0,-2.456847667694092,0.0,0.4164363145828247,0.0,-1.6661134958267212,-1.2876265048980713,0.14258380234241486,-0.030358150601387024,1.4988082647323608,2.366652250289917
6.3,2.8,5.1,1.5,133.0,133.0,0.0,0.0,-2.456847667694092,0.0,0.7241674065589905,0.0,-0.268502801656723,0.971710205078125,0.06716594099998474,-0.3109681010246277,1.2770403623580933,-0.9396752715110779
6.1,2.6,5.6,1.4,134.0,134.0,0.0,0.0,-2.456847667694092,0.0,0.40014132857322693,0.0,-1.4744902849197388,0.971710205078125,0.22649982571601868,-0.009434796869754791,1.982222318649292,-2.3595926761627197
6.9,3.1,5.1,2.3,141.0,141.0,0.0,0.0,-2.456847667694092,0.0,0.602204442024231,0.0,-0.5089352130889893,-1.2876265048980713,0.14258380234241486,-0.5169850587844849,0.6740133762359619,2.179926633834839
6.8,3.2,5.9,2.3,143.0,143.0,0.0,0.0,-2.456847667694092,0.0,0.4164363145828247,0.0,-1.6661134958267212,-1.2876265048980713,0.14258380234241486,-0.8554840087890625,1.4988082647323608,2.09470796585083
5.9,3.0,5.1,1.8,149.0,149.0,0.0,0.0,-2.456847667694092,0.0,0.37585124373435974,0.0,-0.557744562625885,-1.1995311975479126,-0.3899778127670288,-0.08928178250789642,0.6740133762359619,2.1611485481262207
