sepal length (cm),sepal width (cm),petal length (cm),petal width (cm),ID1,ID2,SHARP for sepal length (cm) Class1,SHARP for sepal width (cm) Class1,SHARP for petal length (cm) Class1,SHARP for petal width (cm) Class1,SHARP for sepal length (cm) Class2,SHARP for sepal width (cm) Class2,SHARP for petal length (cm) Class2,SHARP for petal width (cm) Class2,SHARP for sepal length (cm) Class3,SHARP for sepal width (cm) Class3,SHARP for petal length (cm) Class3,SHARP for petal width (cm) Class3
4.6,3.1,1.5,0.2,3.0,3.0,0.0,0.0,3.629697799682617,0.0,-1.6273435354232788,0.0,-1.2094587087631226,0.44738927483558655,-0.3739316463470459,-0.8468999862670898,-1.9150428771972656,-0.7855815291404724
4.6,3.4,1.4,0.3,6.0,6.0,0.0,0.0,3.629697799682617,0.0,-1.6273435354232788,0.0,-1.2094587087631226,0.44738927483558655,-0.3739316463470459,-0.8468999862670898,-1.9150428771972656,-0.7855815291404724
5.0,3.4,1.5,0.2,7.0,7.0,0.0,0.0,3.629697799682617,0.0,-1.0441006422042847,0.0,-1.0951330661773682,0.44738927483558655,-0.3739316463470459,-0.8468999862670898,-1.9150428771972656,-0.7855815291404724
4.9,3.1,1.5,0.1,9.0,9.0,0.0,0.0,3.629697799682617,0.0,-1.6273435354232788,0.0,-1.2094587087631226,0.44738927483558655,-0.3739316463470459,-0.8468999862670898,-1.9150428771972656,-0.7855815291404724
5.1,3.5,1.4,0.3,17.0,17.0,0.0,0.0,3.629697799682617,0.0,-1.0441006422042847,0.0,-1.0951330661773682,0.44738927483558655,-0.3739316463470459,-0.8468999862670898,-1.9150428771972656,-0.7855815291404724
5.4,3.4,1.7,0.2,20.0,20.0,0.0,0.0,3.629697799682617,0.0,-0.6267462968826294,0.0,-1.0585767030715942,0.44738927483558655,-0.3739316463470459,-0.8468999862670898,-1.9150428771972656,-0.7855815291404724
5.0,3.0,1.6,0.2,25.0,25.0,0.0,0.0,3.629697799682617,0.0,-1.0441006422042847,0.0,-1.0951330661773682,0.44738927483558655,-0.3739316463470459,-0.39823609590530396,-1.7456731796264648,-0.7855815291404724
5.0,3.4,1.6,0.4,26.0,26.0,0.0,0.0,3.629697799682617,0.0,-1.0441006422042847,0.0,-1.0951330661773682,0.44738927483558655,-0.3739316463470459,-0.8468999862670898,-1.9150428771972656,-0.7855815291404724
4.7,3.2,1.6,0.2,29.0,29.0,0.0,0.0,3.629697799682617,0.0,-1.6273435354232788,0.0,-1.2094587087631226,0.44738927483558655,-0.3739316463470459,-0.8468999862670898,-1.9150428771972656,-0.7855815291404724
5.5,4.2,1.4,0.2,33.0,33.0,0.0,0.0,3.629697799682617,0.0,0.5559830069541931,0.0,-0.9323253035545349,0.44738927483558655,-0.3739316463470459,-0.8468999862670898,-1.9150428771972656,-0.7855815291404724
4.4,3.2,1.3,0.2,42.0,42.0,0.0,0.0,3.629697799682617,0.0,-1.6273435354232788,0.0,-1.2094587087631226,0.44738927483558655,-0.3739316463470459,-0.8468999862670898,-1.9150428771972656,-0.7855815291404724
7.0,3.2,4.7,1.4,50.0,50.0,0.0,0.0,-2.483769178390503,0.0,0.7829070687294006,0.0,1.5655183792114258,0.8627046346664429,0.20404142141342163,-0.7337825298309326,-1.9150428771972656,-0.917229413986206
6.5,2.8,4.6,1.5,54.0,54.0,0.0,0.0,-2.483769178390503,0.0,0.6225588321685791,0.0,1.5655183792114258,0.8661625385284424,0.12913931906223297,0.7485854029655457,-1.7473809719085693,-0.6710671186447144
5.0,2.0,3.5,1.0,60.0,60.0,0.0,0.0,-2.483769178390503,0.0,-1.0441006422042847,0.0,1.4027106761932373,0.8661436438560486,-0.22157451510429382,0.7049375176429749,-1.7473809719085693,-1.009955883026123
5.6,2.9,3.6,1.3,64.0,64.0,0.0,0.0,-2.483769178390503,0.0,0.5559830069541931,0.0,1.5655183792114258,0.8661436438560486,-0.3739316463470459,-0.39823609590530396,-1.7456731796264648,-0.7855815291404724
5.6,3.0,4.5,1.5,66.0,66.0,0.0,0.0,-2.483769178390503,0.0,0.5367444157600403,0.0,1.5655183792114258,0.7409530282020569,-0.3739316463470459,-0.5546096563339233,-1.7456731796264648,-0.6292079091072083
6.2,2.2,4.5,1.5,68.0,68.0,0.0,0.0,-2.483769178390503,0.0,0.0707763135433197,0.0,1.5655183792114258,0.8326002359390259,0.12913931906223297,0.7485854029655457,-1.7473809719085693,-0.6710671186447144
6.1,2.8,4.0,1.3,71.0,71.0,0.0,0.0,-2.483769178390503,0.0,0.09001485258340836,0.0,1.5655183792114258,0.9577908515930176,0.12913931906223297,0.5907958149909973,-1.7473809719085693,-1.1416038274765015
5.5,2.4,3.8,1.1,80.0,80.0,0.0,0.0,-2.483769178390503,0.0,0.5559830069541931,0.0,1.5655183792114258,0.8661436438560486,-0.22157451510429382,0.7049375176429749,-1.7473809719085693,-1.009955883026123
6.0,2.7,5.1,1.6,83.0,83.0,0.0,0.0,-2.483769178390503,0.0,-0.15603120625019073,0.0,-1.538651704788208,0.6369918584823608,0.15389887988567352,0.7051628828048706,2.343632459640503,-0.039196230471134186
6.2,2.9,4.3,1.3,97.0,97.0,0.0,0.0,-2.483769178390503,0.0,0.09001485258340836,0.0,1.5655183792114258,0.9577908515930176,0.20404142141342163,-0.28511857986450195,-1.7456731796264648,-0.917229413986206
6.5,3.0,5.8,2.2,104.0,104.0,0.0,0.0,-2.483769178390503,0.0,0.2676561772823334,0.0,-1.6525819301605225,-1.1151111125946045,0.30716803669929504,-0.5188672542572021,2.295539140701294,1.249839186668396
6.5,3.2,5.1,2.0,110.0,110.0,0.0,0.0,-2.483769178390503,0.0,0.2676561772823334,0.0,-1.6525819301605225,-1.1151111125946045,0.30716803669929504,-0.6585142612457275,2.4351863861083984,1.249839186668396
6.5,3.0,5.5,1.8,116.0,116.0,0.0,0.0,-2.483769178390503,0.0,0.2676561772823334,0.0,-1.6525819301605225,-1.1151111125946045,0.30716803669929504,-0.5188672542572021,2.295539140701294,1.249839186668396
7.7,2.8,6.7,2.0,122.0,122.0,0.0,0.0,-2.483769178390503,0.0,0.6112893223762512,0.0,-1.6525819301605225,-1.041236400604248,0.2322659194469452,0.6093533039093018,2.1873059272766113,1.384296178817749
7.9,3.8,6.4,2.0,131.0,131.0,0.0,0.0,-2.483769178390503,0.0,0.6112893223762512,0.0,-1.6525819301605225,-1.041236400604248,0.30716803669929504,-0.6585142612457275,2.4351863861083984,1.249839186668396
7.7,3.0,6.1,2.3,135.0,135.0,0.0,0.0,-2.483769178390503,0.0,0.6112893223762512,0.0,-1.6525819301605225,-1.041236400604248,0.30716803669929504,-0.5188672542572021,2.295539140701294,1.249839186668396
6.3,3.4,5.6,2.4,136.0,136.0,0.0,0.0,-2.483769178390503,0.0,0.2676561772823334,0.0,-1.6525819301605225,-1.1151111125946045,0.30716803669929504,-0.6585142612457275,2.4351863861083984,1.249839186668396
6.4,3.1,5.5,1.8,137.0,137.0,0.0,0.0,-2.483769178390503,0.0,0.2676561772823334,0.0,-1.6525819301605225,-1.1151111125946045,0.30716803669929504,-0.6585142612457275,2.4351863861083984,1.249839186668396
6.2,3.4,5.4,2.3,148.0,148.0,0.0,0.0,-2.483769178390503,0.0,-0.284126341342926,0.0,-1.6525819301605225,-1.148673415184021,0.30716803669929504,-0.6585142612457275,2.4351863861083984,1.249839186668396
