MedInc,HouseAge,AveRooms,AveBedrms,Population,AveOccup,Latitude,Longitude,SHARP for MedInc,SHARP for HouseAge,SHARP for AveRooms,SHARP for AveBedrms,SHARP for Population,SHARP for AveOccup,SHARP for Latitude,SHARP for Longitude
3.9375,51.0,5.231805929919138,1.0188679245283019,1012.0,2.7277628032345014,34.14,-118.2,0.009308850392699242,0.13556408882141113,-0.08535891771316528,-0.00855290237814188,5.9078178310301155e-05,-0.04132784530520439,0.22895194590091705,-0.060929056257009506
4.3359,47.0,5.070281124497992,1.0502008032128514,1514.0,3.040160642570281,34.14,-118.19,0.05120513588190079,0.06281401962041855,-0.07961688935756683,0.017743650823831558,0.005613014567643404,-0.18973904848098755,0.2193508893251419,-0.03860469534993172
3.925,52.0,4.635944700460829,1.055299539170507,1314.0,3.0276497695852536,34.13,-118.19,-0.02045433409512043,0.14385703206062317,-0.05382547155022621,0.029384704306721687,0.013451083563268185,-0.15963609516620636,0.22992417216300964,-0.029218599200248718
3.5349,52.0,4.646118721461187,1.047945205479452,2589.0,5.910958904109589,34.13,-118.2,-0.13307318091392517,0.12193542718887329,-0.05910453572869301,0.0022727232426404953,0.01289872545748949,-0.2926398515701294,0.20328916609287262,-0.0818195641040802
3.25,52.0,4.324561403508772,1.0719298245614035,1433.0,2.5140350877192983,34.13,-118.21,-0.16992367804050446,0.20658129453659058,-0.04465969651937485,0.038420505821704865,0.03047562763094902,0.06496981531381607,0.23211653530597687,-0.04689886048436165
2.7098,47.0,4.330601092896175,1.1475409836065573,949.0,2.592896174863388,34.13,-118.22,-0.45543932914733887,0.042848214507102966,-0.0164947509765625,0.012736724689602852,-0.0002276199811603874,-0.0016690888442099094,0.23160018026828766,-0.022095760330557823
3.3542,52.0,4.882716049382716,1.0740740740740742,501.0,3.0925925925925926,34.13,-118.22,-0.15501894056797028,0.14939045906066895,-0.05829982832074165,0.03433449938893318,-0.007465406786650419,-0.15244759619235992,0.23023194074630737,-0.030848274007439613
3.5341,52.0,4.929203539823009,1.0508849557522124,1311.0,2.900442477876106,34.13,-118.18,-0.14499075710773468,0.1318882256746292,-0.06784504652023315,0.002916673431172967,0.013145814649760723,-0.13111259043216705,0.23157759010791779,-0.04473037272691727
1.9219,52.0,3.8197879858657244,1.098939929328622,904.0,3.1943462897526502,34.12,-118.18,-0.7062419652938843,0.0739443451166153,-0.05212940648198128,0.014815888367593288,-0.012816043570637703,-0.1603156328201294,0.2343643456697464,-0.011082993820309639
4.21,45.0,5.089171974522293,1.0360934182590233,1569.0,3.3312101910828025,34.12,-118.18,0.034577153623104095,0.05287211015820503,-0.09625555574893951,-0.0075052701868116856,0.005594395101070404,-0.3184828460216522,0.2010548710823059,-0.06253483146429062
2.9154,35.0,4.244628099173553,1.1107438016528925,1696.0,2.803305785123967,34.12,-118.17,-0.3283090889453888,0.025073686614632607,-0.007557221222668886,0.01179339736700058,0.0032684269826859236,-0.04449538141489029,0.24045270681381226,-0.038411471992731094
2.369,29.0,4.030534351145038,1.1251908396946564,1795.0,2.7404580152671754,34.12,-118.18,-0.5284912586212158,0.019040556624531746,-0.004625109024345875,0.01054004393517971,0.0023367786779999733,0.0055784620344638824,0.25576943159103394,-0.008046681061387062
3.7813,30.0,4.656551724137931,0.993103448275862,1990.0,2.7448275862068967,34.12,-118.17,-0.07969554513692856,0.02142845280468464,-0.04833265393972397,-0.017457328736782074,0.0029616656247526407,-0.06993070989847183,0.22668662667274475,-0.03759681433439255
3.1287,50.0,4.467576791808874,1.030716723549488,883.0,3.013651877133106,34.13,-118.19,-0.21967802941799164,0.11575241386890411,-0.044013313949108124,-0.003748372197151184,-0.003184474306181073,-0.11390654742717743,0.24162881076335907,-0.020669974386692047
4.2344,52.0,4.1656441717791415,0.8098159509202454,483.0,2.96319018404908,34.12,-118.19,0.006500037387013435,0.09181899577379227,-0.06201067194342613,-0.052336763590574265,-0.008480284363031387,-0.16400091350078583,0.22049584984779358,-0.04828992486000061
2.3071,41.0,4.444253859348199,1.169811320754717,2366.0,4.058319039451115,34.12,-118.19,-0.5895015001296997,0.03558914363384247,-0.09280101209878922,0.011363699100911617,-0.00030224546208046377,-0.22339749336242676,0.2418842911720276,-0.01675407402217388
4.0417,44.0,4.322695035460993,1.148936170212766,1036.0,3.673758865248227,34.12,-118.19,-0.03627216815948486,0.04814818501472473,-0.053850021213293076,0.019757285714149475,0.0006058932049199939,-0.3199253976345062,0.203135147690773,-0.055807001888751984
2.7012,36.0,3.9957686882933707,1.0155148095909732,2148.0,3.0296191819464036,34.12,-118.19,-0.3852616846561432,0.022522417828440666,0.013263925909996033,-0.0059403409250080585,0.002212648745626211,-0.08922628313302994,0.2361200898885727,0.004466266371309757
4.0052,30.0,4.2377358490566035,1.0364779874213836,2032.0,2.5559748427672955,34.13,-118.2,-0.021716320887207985,0.03331967070698738,-0.04691179096698761,-0.004832983482629061,0.011255291290581226,0.042116712778806686,0.24139611423015594,-0.045138854533433914
3.3438,50.0,5.102787456445993,1.024390243902439,1931.0,3.3641114982578397,34.13,-118.2,-0.16851279139518738,0.13821318745613098,-0.08969603478908539,-0.022112475708127022,0.006856093183159828,-0.2553994655609131,0.218784898519516,-0.07428665459156036
3.3326,52.0,3.8916256157635467,1.0492610837438423,1462.0,3.600985221674877,34.12,-118.2,-0.15307852625846863,0.12748421728610992,-0.04403184726834297,0.0028991245198994875,0.01251559890806675,-0.27680090069770813,0.2114303708076477,-0.0739610567688942
2.9194,41.0,4.211920529801325,1.1103752759381897,1557.0,3.437086092715232,34.12,-118.2,-0.3057452440261841,0.03551158308982849,-0.007666133809834719,0.008637617342174053,0.002078130142763257,-0.21662266552448273,0.22362232208251953,-0.05259181931614876
3.4625,52.0,4.953271028037383,1.1214953271028036,1127.0,3.5109034267912773,34.12,-118.21,-0.11952058970928192,0.13594643771648407,-0.06228391453623772,0.02800557017326355,-0.004000285640358925,-0.25971174240112305,0.21538539230823517,-0.056995101273059845
3.6845,41.0,3.823293172690763,1.0321285140562249,1666.0,3.3453815261044175,34.12,-118.21,-0.1307734251022339,0.03840774670243263,-0.04131987318396568,-0.01160875242203474,0.0024226573295891285,-0.2734408676624298,0.2089475840330124,-0.05307312309741974
2.5139,52.0,3.6038781163434903,1.077562326869806,1189.0,3.293628808864266,34.12,-118.21,-0.4387335479259491,0.09408783912658691,-0.018989507108926773,0.013620580546557903,-0.01411532238125801,-0.20632152259349823,0.22238561511039734,-0.022930465638637543
4.0625,52.0,3.6451612903225805,0.9301075268817204,791.0,4.252688172043011,34.11,-118.2,-0.03150319680571556,0.11012084782123566,-0.05359472334384918,-0.02883809059858322,-0.004114632029086351,-0.31215351819992065,0.20889106392860413,-0.0705254077911377
2.5211,46.0,3.6847935548841892,1.0755287009063443,4153.0,4.182275931520644,34.11,-118.2,-0.4593316614627838,0.04053138196468353,0.010099672712385654,0.011436852626502514,0.004173375200480223,-0.23750419914722443,0.2059270590543747,-0.03836168721318245
3.0,52.0,3.9604166666666667,1.09375,1856.0,3.8666666666666667,34.11,-118.2,-0.30926018953323364,0.11612538248300552,-0.05372513458132744,0.018832864239811897,0.013479462824761868,-0.2776850461959839,0.21571478247642517,-0.060535356402397156
2.8125,44.0,3.845208845208845,0.9778869778869779,1500.0,3.6855036855036856,34.12,-118.2,-0.36407431960105896,0.03524628281593323,-0.008454553782939911,-0.01184055395424366,0.0008701176848262548,-0.24268466234207153,0.20728884637355804,-0.03685685247182846
2.987,46.0,4.166051660516605,1.0086100861008611,2833.0,3.4846248462484626,34.12,-118.19,-0.30645668506622314,0.04143514111638069,-0.015183753333985806,-0.006927699316293001,0.002563231624662876,-0.23127973079681396,0.21496175229549408,-0.057118289172649384
2.1667,40.0,4.019047619047619,1.1047619047619048,1032.0,3.276190476190476,34.11,-118.19,-0.6093693375587463,0.034678537398576736,-0.05173790082335472,0.012251237407326698,-0.007543865591287613,-0.1624058485031128,0.23533189296722412,-0.007570695132017136
2.4932,35.0,3.7172312223858617,1.1030927835051547,2487.0,3.662739322533137,34.12,-118.19,-0.4469294548034668,0.023357689380645752,0.018961280584335327,0.012246710248291492,0.0027884209994226694,-0.22283494472503662,0.20621123909950256,-0.033577241003513336
2.6591,33.0,5.110738255033557,1.3120805369127517,753.0,2.5268456375838926,34.11,-118.18,-0.5523753762245178,0.020582061260938644,-0.12261795252561569,0.01521671749651432,-0.005043361335992813,0.02724430337548256,0.24277037382125854,-0.01152198389172554
2.3984,44.0,3.9127906976744184,1.1569767441860466,1204.0,3.5,34.11,-118.18,-0.4625220000743866,0.03617136552929878,0.012381816282868385,0.011857428587973118,-0.006727435626089573,-0.22118520736694336,0.2037019431591034,-0.03311444818973541
2.286,38.0,3.5962732919254656,0.9596273291925466,1051.0,3.2639751552795033,34.11,-118.19,-0.4845932424068451,0.032137431204319,0.011700738221406937,-0.011844967491924763,-0.012327243573963642,-0.16109201312065125,0.23021367192268372,-0.0037834765389561653
3.4227,26.0,3.748283752860412,1.045766590389016,1155.0,2.643020594965675,34.11,-118.19,-0.19074732065200806,0.00657853577286005,0.004399396013468504,0.013611230067908764,0.0010176323121413589,-0.02755410224199295,0.22694334387779236,-0.034128788858652115
3.2121,42.0,4.171957671957672,1.0026455026455026,1317.0,3.484126984126984,34.1,-118.19,-0.17394177615642548,0.03700116276741028,-0.021047387272119522,-0.015039938502013683,0.002419046824797988,-0.24373994767665863,0.20744620263576508,-0.052540991455316544
2.1793,36.0,2.882,1.068,1809.0,3.618,34.11,-118.2,-0.5458874702453613,0.020985448732972145,0.032818302512168884,0.01203774381428957,0.0065026916563510895,-0.22622132301330566,0.21626444160938263,-0.024860553443431854
